case_id,document_id,assigned_family,all_families,document_type,president,date,title,candidate_count
SHC001,693,ieepa_action,ieepa_action|property_blocking,executive_order,Barack Obama,"April 19, 2016",blocking property and suspending entry into the united states,25
SHC002,222,ieepa_action,ieepa_action,executive_order,Donald J. Trump,"February 03, 2025",progress the situation our southern border,25
SHC003,4859,ieepa_action,ieepa_action,letter,Donald J. Trump,"August 06, 2018",congressional leaders reimposing certain sanctions with respect iran,25
SHC004,6561,ieepa_action,ieepa_action,letter,Ronald Reagan,"January 11, 1989",the speaker the house representatives and the president the senate reporting the 9,25
SHC005,6044,ieepa_action,ieepa_action,letter,William J. Clinton,"October 12, 1996",congressional leaders transmitting executive order revise procedures for processing,25
SHC006,5870,ieepa_action,ieepa_action,letter,William J. Clinton,"November 16, 1998",congressional leaders reporting the national emergency with respect iran 5,25
SHC007,6460,ieepa_action,ieepa_action,letter,George Bush,"November 29, 1990",congressional leaders reporting the national emergency with respect iran 1,25
SHC008,71,ieepa_action,ieepa_action,executive_order,Donald J. Trump,"September 05, 2025",strengthening efforts protect us nationals from wrongful detention,25
SHC009,4721,ieepa_action,ieepa_action,letter,Donald J. Trump,"November 12, 2020",congressional leaders addressing the threat from securities investments that,25
SHC010,6571,ieepa_action,ieepa_action,letter,Ronald Reagan,"November 09, 1988",the speaker the house representatives and the president the senate reporting the 7,25
SHC011,6659,ieepa_action,ieepa_action,letter,Ronald Reagan,"November 10, 1986",the speaker the house and the president the senate reporting the nicaraguan,25
SHC012,6162,ieepa_action,ieepa_action,letter,William J. Clinton,"November 18, 1994",congressional leaders reporting the national emergency with respect iran 2,25
SHC013,4756,ieepa_action,ieepa_action,letter,Donald J. Trump,"May 01, 2020",congressional leaders securing the united states bulk power system,25
SHC014,5968,ieepa_action,ieepa_action,letter,William J. Clinton,"November 25, 1997",congressional leaders reporting the national emergency with respect iran 4,25
SHC015,4809,ieepa_action,ieepa_action,letter,Donald J. Trump,"March 15, 2019",congressional leaders taking additional steps address the national emergency with 0,25
SHC016,5607,ieepa_action,ieepa_action,letter,George W. Bush,"August 17, 2001",congressional leaders continuation export control regulations 0,25
SHC017,6425,ieepa_action,ieepa_action,letter,George Bush,"May 30, 1991",congressional leaders reporting the national emergency with respect iran 0,25
SHC018,5143,ieepa_action,ieepa_action|property_blocking,letter,Barack Obama,"May 18, 2011",congressional leaders reporting the executive order blocking property senior,25
