case_id,child_id,assigned_family,decision,sol_rank,candidate_label,parent_id,retrieval_sources,word5_score,word5_rank,word10_score,word10_rank,bm25_score,bm25_rank,function_score,function_rank,rrf_score,rrf_rank
SHC001,693,ieepa_action,candidate,1,C20,759,bm25|function|word10|word5,0.4578668773174286,4,0.39903780817985535,3,635.0633327830337,5,0.8213162422180176,2,0.06301166351569577,3
SHC001,693,ieepa_action,candidate,2,C17,752,bm25|function|word10|word5,0.4753345251083374,2,0.40171441435813904,2,647.6628556317505,3,0.8052313923835754,3,0.06400409626216078,1
SHC001,693,ieepa_action,candidate,3,C08,756,bm25|word10|word5,0.4333029091358185,5,0.3893584609031677,5,636.4866523154228,4,0.7952365875244141,7,0.06131960390355913,6
SHC002,222,ieepa_action,candidate,1,C21,226,bm25|function|word5,0.14065037667751312,1,0.057634469121694565,8,322.41730296958355,1,0.6260214447975159,1,0.06388621022179364,1
SHC002,222,ieepa_action,candidate,2,C19,224,bm25|function|same_family_recent|word5,0.11626189947128296,2,0.04943550378084183,13,310.8461490945689,2,0.5660494565963745,4,0.06158169465311533,2
SHC002,222,ieepa_action,candidate,3,C02,225,bm25|same_family_recent|word5,0.10391966253519058,3,0.04943550378084183,14,275.8814913966327,3,0.5619791746139526,6,0.06041106041106041,3
SHC003,4859,ieepa_action,candidate,1,C22,9066,bm25|word10|word5,0.13884779810905457,3,0.06263422966003418,3,509.6492772698852,2,0.4202613830566406,5119,0.04806815147271955,11
SHC003,4859,ieepa_action,candidate,2,C21,4977,bm25|word10|word5,0.2732595205307007,1,0.189729705452919,1,548.2632499286667,1,0.7128576636314392,18,0.06200084068936528,2
SHC003,4859,ieepa_action,candidate,3,C20,5106,bm25|word10|word5,0.19249756634235382,2,0.11865204572677612,2,433.53870187457034,3,0.7572245001792908,7,0.06305645352347326,1
SHC004,6561,ieepa_action,candidate,1,C13,6613,bm25|function|word10|word5,0.2986434996128082,1,0.23834310472011566,1,559.448066985389,1,0.7433990240097046,1,0.06557377049180328,1
SHC004,6561,ieepa_action,candidate,2,C15,6571,bm25|function|same_family_recent|word10|word5,0.10477294772863388,4,0.04157212749123573,4,378.88157453923276,2,0.662808895111084,4,0.06300403225806452,4
SHC004,6561,ieepa_action,candidate,3,C08,6595,bm25|function|word10|word5,0.11089011281728745,3,0.053313303738832474,3,368.1116281593113,3,0.7409985661506653,2,0.06374807987711213,2
SHC005,6044,ieepa_action,candidate,1,C06,1438,bm25,0.019745079800486565,38,0.0,84,131.22320109111894,1,,,0.03354196870004832,34
SHC005,6044,ieepa_action,candidate,2,C03,1496,function,0.004474641755223274,193,0.0,142,92.84358952662954,49,0.5987659692764282,4,0.03370237614607093,33
SHC005,6044,ieepa_action,candidate,3,C11,6163,function,0.014953969046473503,44,0.0,3162,106.62167074638347,26,0.6406110525131226,1,0.03794710044723357,26
SHC006,5870,ieepa_action,candidate,1,C11,5968,bm25|word10|word5,0.4384731650352478,1,0.3172569274902344,1,668.2448626558585,1,0.7910656929016113,6,0.06433184302036761,2
SHC006,5870,ieepa_action,candidate,2,C05,6037,bm25|function|word10|word5,0.3149269223213196,2,0.21459877490997314,2,569.5017599800025,2,0.8264511227607727,2,0.06451612903225806,1
SHC006,5870,ieepa_action,candidate,3,C04,6460,function|word10|word5,0.16764231026172638,4,0.10441755503416061,4,465.59852670959475,6,0.8063744306564331,5,0.06178613053613054,4
SHC007,6460,ieepa_action,candidate,1,C16,6570,bm25|word10|word5,0.30318304896354675,1,0.21635471284389496,1,862.9482810741008,1,,,0.04918032786885246,8
SHC007,6460,ieepa_action,candidate,2,C05,6657,bm25|word10|word5,0.12768365442752838,2,0.06714990735054016,2,630.7722005417788,2,,,0.04838709677419355,9
SHC007,6460,ieepa_action,candidate,3,C22,6742,bm25|function|word10|word5,0.053959041833877563,3,0.018247433006763458,3,534.7568940410066,3,0.7888554334640503,1,0.06401249024199844,1
SHC008,71,ieepa_action,candidate,1,C18,341,bm25|word5,0.033717285841703415,3,0.00640864809975028,13,308.46587471841826,1,0.5776599645614624,19,0.05862331648105426,2
SHC008,71,ieepa_action,candidate,2,C04,1481,function,0.009397786110639572,175,0.0,1574,185.33826233086367,153,0.6255218982696533,3,0.025435165806742384,62
SHC008,71,ieepa_action,candidate,3,C08,1684,function,0.008779122494161129,191,0.0,1770,171.46110601357316,260,0.6195999979972839,5,0.023040127217067,80
SHC009,4721,ieepa_action,candidate,1,C15,4756,bm25|word10|word5,0.1619027554988861,1,0.10530765354633331,1,195.80030373781076,1,0.6839386820793152,14,0.06269384138236597,1
SHC009,4721,ieepa_action,candidate,2,C23,4739,bm25,0.05775037035346031,30,0.02172335796058178,37,194.7796859191737,2,0.6894888281822205,7,0.05247479485401945,10
SHC009,4721,ieepa_action,candidate,3,C08,4740,bm25,0.05775037035346031,31,0.02172335796058178,38,181.7082454074797,3,0.5699843764305115,246,0.040334082350889075,27
SHC010,6571,ieepa_action,candidate,1,C03,6595,bm25|function|same_family_recent|word10|word5,0.43287909030914307,1,0.37705808877944946,1,810.3978872593356,1,0.7975161671638489,1,0.06557377049180328,1
SHC010,6571,ieepa_action,candidate,2,C21,6659,bm25|function|word10|word5,0.28588682413101196,2,0.22891324758529663,2,632.8818175765131,2,0.7768197059631348,2,0.06451612903225806,2
SHC010,6571,ieepa_action,candidate,3,C18,1906,word10|word5,0.04549282789230347,4,0.024058405309915543,4,246.5413864830755,6,0.5183401107788086,854,0.04749560705523506,5
SHC011,6659,ieepa_action,candidate,1,C22,6742,bm25|function|word10|word5,0.03662131354212761,2,0.0075642429292202,2,190.14103631066092,5,0.6740838885307312,1,0.06403612252369524,1
SHC011,6659,ieepa_action,candidate,2,C01,1906,bm25|word10|word5,0.06450939923524857,1,0.03423099219799042,1,238.66586448333481,1,0.5242635011672974,526,0.05088681251049069,2
SHC011,6659,ieepa_action,candidate,3,C07,6704,bm25,0.00571625679731369,62,0.0,2648,198.7501622882739,4,,,0.02419099753008693,31
SHC012,6162,ieepa_action,candidate,1,C25,6336,bm25|function|word10|word5,0.41055312752723694,1,0.2867285907268524,1,815.9389375186506,1,0.784619927406311,1,0.06557377049180328,1
SHC012,6162,ieepa_action,candidate,2,C05,6460,bm25|function|word10|word5,0.27447518706321716,3,0.1928262859582901,3,651.7025202544863,3,0.7383784055709839,3,0.06349206349206349,3
SHC012,6162,ieepa_action,candidate,3,C12,6425,bm25|function|word10|word5,0.29823750257492065,2,0.1981869637966156,2,719.0165819299389,2,0.7647413015365601,2,0.06451612903225806,2
SHC013,4756,ieepa_action,candidate,1,C06,546,bm25|word10|word5,0.40668410062789917,1,0.26189762353897095,1,349.5716241860507,1,0.5722320079803467,186,0.05324536851925896,7
SHC013,4756,ieepa_action,candidate,2,C02,4809,word10|word5,0.059155359864234924,5,0.024574177339673042,4,142.6226106200284,22,0.6593486666679382,19,0.055862965183936165,4
SHC013,4756,ieepa_action,candidate,3,C21,4895,function,0.03770558536052704,31,0.006636534817516804,53,149.7255110014498,12,0.7098605632781982,4,0.04935245740002377,14
SHC014,5968,ieepa_action,candidate,1,C08,6037,bm25|function|word10|word5,0.2498367428779602,1,0.1833064705133438,1,653.847758926408,1,0.7711457014083862,4,0.06480532786885246,1
SHC014,5968,ieepa_action,candidate,2,C04,6570,bm25|word10|word5,0.09681903570890427,5,0.06412305682897568,5,513.5568641046727,3,,,0.04664224664224664,23
SHC014,5968,ieepa_action,candidate,3,C14,6162,bm25|function|word10|word5,0.13600140810012817,2,0.0810062363743782,2,555.5035092957526,2,0.7530912160873413,5,0.06377171215880893,2
