pair_id,decision,review_notes
P001,out_of_scope,
P002,parent,
P003,out_of_scope,"Could be parents, but not a recognizable category. "
P004,out_of_scope,
P005,out_of_scope,
P006,not_parent,
P007,out_of_scope,
P008,parent,
P009,parent,
P010,out_of_scope,
P011,parent,
P012,out_of_scope,
P013,out_of_scope,
P014,parent,
P015,out_of_scope,
P016,uncertain,
P017,parent,
P018,parent,
P019,out_of_scope,
P020,,
P021,out_of_scope,
P022,not_parent,
P023,uncertain,
P024,parent,
P025,parent,One reason I think this is a parent is because the section headers are the same. 
P026,uncertain,
P027,uncertain,
P028,uncertain,
P029,not_parent,
P030,parent,
P031,not_parent,
P032,not_parent,
P033,not_parent,
P034,parent,
P035,parent,
P036,not_parent,
P037,uncertain,
P038,uncertain,
P039,uncertain,
P040,parent,
