authority,occurrences,delegation,classification,review_flag,rationale,source_url
act:the-1951-amendments-to-the-universal-military-training-and-service-act:2,2,1,YES,0,Express presidential authority to extend enlistments.,https://www.presidency.ucsb.edu/documents/executive-order-10270-extension-enlistments-the-armed-forces-the-united-states
act:the-act-of-april-11-1968:808,1,0,NO,0,"Fair Housing Act section 808 assigns administration principally to HUD/the Secretary, not an operative presidential power.",https://www.archives.gov/federal-register/codification/executive-order/12259.html
act:the-act-of-january-24-1942:3,1,1,YES,0,Gave the President discretion to exclude employees or groups from specified retirement-law coverage.,https://law.justia.com/cases/federal/appellate-courts/F2/978/700/183565/
act:the-act-of-july-14-1955:1,1,0,NO,0,"States air-pollution policy; cited as policy to further, not as a grant of presidential power.",https://www.presidency.ucsb.edu/documents/executive-order-10779-directing-federal-agencies-cooperate-with-state-and-local
act:the-act-of-june-19-1878:1,1,1,YES,0,Vested the President with authority to discontinue federal land offices.,https://www.dateas.com/es/docs/federal-register/1948/07/16
act:the-act-of-march-3-1899:13,1,0,NO,0,Refuse Act prohibition; permit authority was lodged in the Secretary of the Army.,https://usc-cdn.house.gov/view.xhtml?edition=prelim&req=granuleid%3AUSC-prelim-title33
act:the-agricultural-act-of-1970:901(b),1,0,NO,0,Presidential reporting/submission function only; no operative discretion under the strict test.,https://www.presidency.ucsb.edu/documents/executive-order-11797-delegating-the-secretary-agriculture-the-function-submitting-annual
act:the-alaska-statehood-act-of-july-7-1958:6(b),1,0,NO,0,"Concerns Alaska land selections and administration, not an independent presidential power.",https://www.govinfo.gov/content/pkg/CRPT-106hrpt764/pdf/CRPT-106hrpt764.pdf
act:the-arms-control-and-disarmament-act:50,1,0,NO,0,Presidential reporting requirement rather than legally operative discretion.,https://www.presidency.ucsb.edu/documents/memorandum-delegation-responsibilities-under-public-law-87-297
act:the-arms-export-control-act:40a(b),1,1,YES,0,Places an operative end-use-monitoring program function in the President.,https://www.law.cornell.edu/uscode/text/22/2785
act:the-bankhead-jones-farm-tenant-act:32,2,1,YES,0,Gives the President authority to transfer jurisdiction over specified federal lands.,https://www.presidency.ucsb.edu/documents/executive-order-10234-transferring-certain-lands-from-the-department-agriculture-the
act:the-bankhead-jones-farm-tenant-act:45,1,1,YES,0,Express presidential land-transfer authority.,https://www.presidency.ucsb.edu/documents/executive-order-8531-amending-executive-order-no-7908-or-june-9-1938-transferring-certain
act:the-cafta-dr-act:201(a),2,1,YES,0,Expressly authorizes the President to proclaim tariff modifications needed to implement CAFTA-DR.,https://www.govinfo.gov/content/pkg/STATUTE-119/html/STATUTE-119-Pg462.htm
act:the-cafta-dr-act:403,1,0,NO,0,Biennial reporting requirement concerning labor obligations/capacity building.,https://www.govinfo.gov/content/pkg/FR-2014-10-28/pdf/FR-2014-10-28.pdf
act:the-carl-levin-and-howard-p-buck-mckeon-national-defense-authorization-act:1209,1,1,YES,0,Gives the President determination/waiver authority concerning assistance to vetted Syrian opposition elements.,https://www.govinfo.gov/content/pkg/CFR-2016-title3-vol1/pdf/CFR-2016-title3-vol1-other-id202.pdf
act:the-cbera-and-section-604-of-the-trade-act:218,1,1,YES,0,CBERA section 218 is expressly described as conferring presidential authority to proclaim duty-free treatment.,https://www.reaganlibrary.gov/archives/speech/proclamation-5133-implementation-caribbean-basin-economic-recovery-act
