document_id,document_type,date,operative_segment_count,status,canonical_profile,request_stage,prior_profile_rows,validation_error_count
1,memorandum,"January 21, 2021",4,repaired,true,,0,0
2,memorandum,"January 15, 2021",7,reused,true,,1,0
3,memorandum,"October 14, 2016",1,repaired,true,,0,0
4,memorandum,"July 26, 2016",17,reused,true,,1,0
5,memorandum,"July 26, 2016",3,reused,true,,1,0
6,memorandum,"June 24, 2015",21,repaired,true,,0,0
7,memorandum,"January 17, 2014",13,reused,true,,1,0
9,memorandum,"February 12, 2013",24,repaired,true,,0,0
10,memorandum,"February 28, 2012",9,reused,true,,1,0
11,memorandum,"August 04, 2011",4,reused,true,,2,0
12,memorandum,"January 09, 2009",2,reused,true,,1,0
13,memorandum,"June 05, 2008",5,reused,true,,1,0
14,memorandum,"October 18, 2007",29,missing,false,repair,0,0
15,memorandum,"May 04, 2007",11,reused,true,,1,0
16,memorandum,"January 31, 2007",16,reused,true,,1,0
17,memorandum,"August 27, 2004",7,reused,true,,1,0
18,memorandum,"August 27, 2004",1,reused,true,,1,0
19,memorandum,"January 30, 2004",9,reused,true,,1,0
20,memorandum,"December 17, 2003",14,reused,true,,1,0
21,memorandum,"December 17, 2003",10,reused,true,,1,0
22,memorandum,"September 16, 2003",8,reused,true,,1,0
23,memorandum,"February 28, 2003",18,reused,true,,1,0
24,memorandum,"March 11, 2002",8,reused,true,,1,0
25,memorandum,"October 29, 2001",21,reused,true,,1,0
26,memorandum,"October 29, 2001",11,reused,true,,1,0
27,memorandum,"October 28, 1953",1,repaired,true,,0,0
28,memorandum,"June 20, 1951",3,reused,true,,1,0
30,executive_order,"February 20, 2026",4,repaired,true,,0,0
31,executive_order,"February 20, 2026",3,repaired,true,,0,0
32,executive_order,"February 18, 2026",6,repaired,true,,0,0
33,executive_order,"February 11, 2026",1,repaired,true,,0,0
34,executive_order,"February 06, 2026",10,repaired,true,,0,0
35,executive_order,"February 06, 2026",9,repaired,true,,0,0
36,executive_order,"February 06, 2026",8,repaired,true,,0,0
37,executive_order,"February 06, 2026",2,reused,true,,1,0
38,executive_order,"January 30, 2026",4,reused,true,,1,0
39,executive_order,"January 29, 2026",3,reused,true,,1,0
40,executive_order,"January 29, 2026",11,reused,true,,1,0
41,executive_order,"January 23, 2026",1,repaired,true,,0,0
42,executive_order,"January 23, 2026",5,repaired,true,,0,0
43,executive_order,"January 20, 2026",6,repaired,true,,0,0
44,executive_order,"January 16, 2026",1,reused,true,,1,0
45,executive_order,"January 14, 2026",5,repaired,true,,0,0
46,executive_order,"January 09, 2026",7,reused,true,,1,0
47,executive_order,"January 07, 2026",7,reused,true,,1,0
48,executive_order,"December 18, 2025",2,repaired,true,,0,0
49,executive_order,"December 18, 2025",8,repaired,true,,0,0
50,executive_order,"December 18, 2025",3,reused,true,,1,0
51,executive_order,"December 18, 2025",2,repaired,true,,0,0
52,executive_order,"December 15, 2025",5,reused,true,,1,0
53,executive_order,"December 11, 2025",5,reused,true,,1,0
54,executive_order,"December 11, 2025",6,repaired,true,,0,0
55,executive_order,"December 06, 2025",2,reused,true,,1,0
56,executive_order,"November 24, 2025",3,reused,true,,1,0
57,executive_order,"November 24, 2025",15,reused,true,,1,0
58,executive_order,"November 20, 2025",6,repaired,true,,0,0
59,executive_order,"November 14, 2025",4,repaired,true,,0,0
60,executive_order,"November 13, 2025",3,reused,true,,1,0
61,executive_order,"November 04, 2025",6,reused,true,,1,0
62,executive_order,"November 04, 2025",5,repaired,true,,0,0
63,executive_order,"October 15, 2025",11,repaired,true,,0,0
64,executive_order,"September 30, 2025",1,reused,true,,1,0
65,executive_order,"September 29, 2025",2,repaired,true,,0,0
66,executive_order,"September 29, 2025",3,reused,true,,1,0
67,executive_order,"September 25, 2025",13,repaired,true,,0,0
68,executive_order,"September 19, 2025",4,reused,true,,1,0
69,executive_order,"September 16, 2025",3,reused,true,,1,0
70,executive_order,"September 16, 2025",3,repaired,true,,0,0
71,executive_order,"September 05, 2025",2,repaired,true,,0,0
72,executive_order,"September 05, 2025",10,missing,false,repair,0,0
73,executive_order,"September 05, 2025",5,reused,true,,1,0
74,executive_order,"September 04, 2025",7,repaired,true,,0,0
75,executive_order,"August 28, 2025",2,repaired,true,,0,0
76,executive_order,"August 28, 2025",2,repaired,true,,0,0
77,executive_order,"August 25, 2025",1,reused,true,,1,0
78,executive_order,"August 25, 2025",8,repaired,true,,0,0
79,executive_order,"August 25, 2025",4,repaired,true,,0,0
