document_id,document_type,date,operative_segment_count,status,canonical_profile,request_stage,prior_profile_rows,validation_error_count
14,memorandum,"October 18, 2007",29,missing,false,repair,0,0
72,executive_order,"September 05, 2025",10,missing,false,repair,0,0
101,executive_order,"July 23, 2025",2,missing,false,repair,0,0
151,executive_order,"April 09, 2025",7,missing,false,repair,0,0
169,executive_order,"March 27, 2025",4,missing,false,repair,0,0
216,executive_order,"February 06, 2025",14,missing,false,repair,0,0
319,executive_order,"June 09, 2023",6,missing,false,repair,0,0
384,executive_order,"June 25, 2021",25,missing,false,repair,0,0
492,executive_order,"June 04, 2020",17,missing,false,repair,0,0
619,executive_order,"May 11, 2017",12,missing,false,repair,0,0
655,executive_order,"January 17, 2017",24,missing,false,repair,0,0
705,executive_order,"December 15, 2015",14,missing,false,repair,0,0
766,executive_order,"November 01, 2013",9,missing,false,repair,0,0
774,executive_order,"June 03, 2013",20,missing,false,repair,0,0
778,executive_order,"April 05, 2013",2,missing,false,repair,0,0
811,executive_order,"May 01, 2012",11,missing,false,repair,0,0
815,executive_order,"March 22, 2012",3,missing,false,repair,0,0
852,executive_order,"March 07, 2011",16,stale_or_invalid,false,repair,1,3
894,executive_order,"December 23, 2009",2,missing,false,repair,0,0
949,executive_order,"July 30, 2008",21,missing,false,repair,0,0
1032,executive_order,"October 14, 2005",30,missing,false,repair,0,0
1073,executive_order,"July 08, 2004",7,stale_or_invalid,false,repair,1,3
1079,executive_order,"May 18, 2004",4,missing,false,repair,0,0
1133,executive_order,"February 28, 2003",55,missing,false,repair,0,0
1201,executive_order,"June 20, 2001",10,stale_or_invalid,false,repair,1,3
1217,executive_order,"February 17, 2001",6,missing,false,repair,0,0
1222,executive_order,"January 18, 2001",5,stale_or_invalid,false,repair,1,3
1279,executive_order,"October 06, 1999",13,missing,false,repair,0,0
1340,executive_order,"April 07, 1998",6,missing,false,repair,0,0
1431,executive_order,"February 05, 1996",14,missing,false,repair,0,0
1438,executive_order,"December 05, 1995",8,missing,false,repair,0,0
1472,executive_order,"January 23, 1995",6,missing,false,repair,0,0
1482,executive_order,"November 10, 1994",30,missing,false,repair,0,0
1513,executive_order,"April 11, 1994",11,missing,false,repair,0,0
1527,executive_order,"January 17, 1994",15,stale_or_invalid,false,repair,1,3
1752,executive_order,"January 18, 1989",3,stale_or_invalid,false,repair,1,3
1811,executive_order,"September 09, 1987",28,missing,false,repair,0,0
1849,executive_order,"October 24, 1986",2,stale_or_invalid,false,repair,1,3
2063,executive_order,"April 02, 1982",19,missing,false,repair,0,0
2127,executive_order,"February 23, 1981",14,stale_or_invalid,false,repair,1,6
2204,executive_order,"May 27, 1980",6,missing,false,repair,0,0
2256,executive_order,"September 29, 1979",23,missing,false,repair,0,0
2383,executive_order,"January 24, 1978",9,missing,false,repair,0,0
2460,executive_order,"January 18, 1977",8,missing,false,repair,0,0
2581,executive_order,"February 06, 1975",12,stale_or_invalid,false,repair,1,3
2584,executive_order,"January 27, 1975",19,missing,false,repair,0,0
2608,executive_order,"October 07, 1974",3,stale_or_invalid,false,repair,1,12
2728,executive_order,"December 15, 1972",3,stale_or_invalid,false,repair,1,12
2792,executive_order,"October 15, 1971",29,missing,false,repair,0,0
2803,executive_order,"August 26, 1971",15,stale_or_invalid,false,repair,2,6
2816,executive_order,"June 30, 1971",16,missing,false,repair,0,0
2830,executive_order,"April 01, 1971",1,stale_or_invalid,false,repair,1,9
3028,executive_order,"January 24, 1968",3,stale_or_invalid,false,repair,1,6
