document_id,document_type,identifier,title,date,url,exclusion_reason
334,executive_order,14085,expanding eligibility for certain military decorations and awards,"October 03, 2022",https://www.presidency.ucsb.edu/documents/executive-order-14085-expanding-eligibility-for-certain-military-decorations-and-awards,symbolic_honor
589,executive_order,13830,delegation authority approve certain military decorations,"April 20, 2018",https://www.presidency.ucsb.edu/documents/executive-order-13830-delegation-authority-approve-certain-military-decorations,symbolic_honor
696,executive_order,13723,establishing the inherent resolve campaign medal,"March 30, 2016",https://www.presidency.ucsb.edu/documents/executive-order-13723-establishing-the-inherent-resolve-campaign-medal,symbolic_honor
710,executive_order,13709,national security medal,"October 02, 2015",https://www.presidency.ucsb.edu/documents/executive-order-13709-national-security-medal,symbolic_honor
753,executive_order,13666,expanding eligibility for the defense meritorious service medal,"April 18, 2014",https://www.presidency.ucsb.edu/documents/executive-order-13666-expanding-eligibility-for-the-defense-meritorious-service-medal,symbolic_honor
1056,executive_order,13363,establishing the afghanistan and iraq campaign medals,"November 29, 2004",https://www.presidency.ucsb.edu/documents/executive-order-13363-establishing-the-afghanistan-and-iraq-campaign-medals,symbolic_honor
1258,executive_order,13161,establishment the presidential medal valor for public safety,"June 29, 2000",https://www.presidency.ucsb.edu/documents/executive-order-13161-establishment-the-presidential-medal-valor-for-public-safety,symbolic_honor
1406,executive_order,13013,amending executive order no 10163 the armed forces reserve medal,"August 06, 1996",https://www.presidency.ucsb.edu/documents/executive-order-13013-amending-executive-order-no-10163-the-armed-forces-reserve-medal,symbolic_honor
1434,executive_order,12985,establishing the armed forces service medal,"January 11, 1996",https://www.presidency.ucsb.edu/documents/executive-order-12985-establishing-the-armed-forces-service-medal,symbolic_honor
1589,executive_order,12830,establishing the military outstanding volunteer service medal,"January 09, 1993",https://www.presidency.ucsb.edu/documents/executive-order-12830-establishing-the-military-outstanding-volunteer-service-medal,symbolic_honor
1626,executive_order,12793,continuing the presidential service certificate and the presidential,"March 20, 1992",https://www.presidency.ucsb.edu/documents/executive-order-12793-continuing-the-presidential-service-certificate-and-the-presidential,symbolic_honor
1629,executive_order,12790,amending the order establishing the southwest asia service medal,"March 03, 1992",https://www.presidency.ucsb.edu/documents/executive-order-12790-amending-the-order-establishing-the-southwest-asia-service-medal,symbolic_honor
1643,executive_order,12776,extending the national defense service medal members the reserve,"October 08, 1991",https://www.presidency.ucsb.edu/documents/executive-order-12776-extending-the-national-defense-service-medal-members-the-reserve,symbolic_honor
2107,executive_order,12312,the meritorious service medal,"July 02, 1981",https://www.presidency.ucsb.edu/documents/executive-order-12312-the-meritorious-service-medal,symbolic_honor
2115,executive_order,12304,seal for the panama canal commission,"April 29, 1981",https://www.presidency.ucsb.edu/documents/executive-order-12304-seal-for-the-panama-canal-commission,symbol_design
2300,executive_order,12120,the honorable adolph dubs,"February 14, 1979",https://www.presidency.ucsb.edu/documents/executive-order-12120-the-honorable-adolph-dubs,memorial_half_staff
2400,executive_order,12019,defense meritorious service medal,"November 03, 1977",https://www.presidency.ucsb.edu/documents/executive-order-12019-defense-meritorious-service-medal,symbolic_honor
2493,executive_order,11926,the vice presidential service badge,"July 19, 1976",https://www.presidency.ucsb.edu/documents/executive-order-11926-the-vice-presidential-service-badge,symbolic_honor
2515,executive_order,11904,establishing the defense superior service medal,"February 06, 1976",https://www.presidency.ucsb.edu/documents/executive-order-11904-establishing-the-defense-superior-service-medal,symbolic_honor
2617,executive_order,11802,general creighton w abrams chief staff united states army,"September 04, 1974",https://www.presidency.ucsb.edu/documents/executive-order-11802-general-creighton-w-abrams-chief-staff-united-states-army,memorial_half_staff
2618,executive_order,11801,the honorable rodger p davies,"August 21, 1974",https://www.presidency.ucsb.edu/documents/executive-order-11801-the-honorable-rodger-p-davies,memorial_half_staff
2685,executive_order,11734,revising the membership the presidents committee the national medal,"July 30, 1973",https://www.presidency.ucsb.edu/documents/executive-order-11734-revising-the-membership-the-presidents-committee-the-national-medal,symbolic_honor
2714,executive_order,11705,the honorable cleo noel junior george curtis moore,"March 06, 1973",https://www.presidency.ucsb.edu/documents/executive-order-11705-the-honorable-cleo-noel-junior-george-curtis-moore,memorial_half_staff
2750,executive_order,11669,j edgar hoover,"May 02, 1972",https://www.presidency.ucsb.edu/documents/executive-order-11669-j-edgar-hoover,memorial_half_staff
2754,executive_order,11665,james f byrnes,"April 10, 1972",https://www.presidency.ucsb.edu/documents/executive-order-11665-james-f-byrnes,memorial_half_staff
2791,executive_order,11628,establishing seal for the environmental protection agency,"October 18, 1971",https://www.presidency.ucsb.edu/documents/executive-order-11628-establishing-seal-for-the-environmental-protection-agency,symbol_design
2799,executive_order,11620,the honorable hugo l black,"September 25, 1971",https://www.presidency.ucsb.edu/documents/executive-order-11620-the-honorable-hugo-l-black,memorial_half_staff
2917,executive_order,11502,enlarging the membership the presidents committee the national medal,"December 22, 1969",https://www.presidency.ucsb.edu/documents/executive-order-11502-enlarging-the-membership-the-presidents-committee-the-national-medal,symbolic_honor
2925,executive_order,11494,establishing the presidential citizens medal,"November 13, 1969",https://www.presidency.ucsb.edu/documents/executive-order-11494-establishing-the-presidential-citizens-medal,symbolic_honor
2938,executive_order,11481,the honorable everett mckinley dirksen,"September 10, 1969",https://www.presidency.ucsb.edu/documents/executive-order-11481-the-honorable-everett-mckinley-dirksen,memorial_half_staff
2940,executive_order,11479,the honorable everett mckinley dirksen,"September 08, 1969",https://www.presidency.ucsb.edu/documents/executive-order-11479-the-honorable-everett-mckinley-dirksen,memorial_half_staff
2971,executive_order,11448,establishing the meritorious service medal,"January 16, 1969",https://www.presidency.ucsb.edu/documents/executive-order-11448-establishing-the-meritorious-service-medal,symbolic_honor
