document_id,document_type,identifier,title,date,url,sample_id,partition
1262,executive_order,13157,increasing opportunities for women owned small businesses,"May 23, 2000",https://www.presidency.ucsb.edu/documents/executive-order-13157-increasing-opportunities-for-women-owned-small-businesses,EO0001,development
3380,executive_order,11040,creating emergency board investigate dispute between the belt,"August 06, 1962",https://www.presidency.ucsb.edu/documents/executive-order-11040-creating-emergency-board-investigate-dispute-between-the-belt,EO0002,development
3533,executive_order,10887,designating the department commerce perform functions with respect,"September 23, 1960",https://www.presidency.ucsb.edu/documents/executive-order-10887-designating-the-department-commerce-perform-functions-with-respect,EO0003,segmentation_vesting_holdout
3365,executive_order,11055,inspection income tax returns the house select committee small,"October 09, 1962",https://www.presidency.ucsb.edu/documents/executive-order-11055-inspection-income-tax-returns-the-house-select-committee-small,EO0004,development
606,executive_order,13813,promoting healthcare choice and competition across the united states,"October 12, 2017",https://www.presidency.ucsb.edu/documents/executive-order-13813-promoting-healthcare-choice-and-competition-across-the-united-states,EO0005,development
2774,executive_order,11644,use off road vehicles the public lands,"February 08, 1972",https://www.presidency.ucsb.edu/documents/executive-order-11644-use-off-road-vehicles-the-public-lands,EO0006,development
1939,executive_order,12480,establishment emergency board no 202 investigate railroad labor,"June 20, 1984",https://www.presidency.ucsb.edu/documents/executive-order-12480-establishment-emergency-board-no-202-investigate-railroad-labor,EO0007,development
467,executive_order,13952,protecting vulnerable newborn and infant children,"September 25, 2020",https://www.presidency.ucsb.edu/documents/executive-order-13952-protecting-vulnerable-newborn-and-infant-children,EO0008,development
1153,executive_order,13267,establishing transition planning office for the department homeland,"June 20, 2002",https://www.presidency.ucsb.edu/documents/executive-order-13267-establishing-transition-planning-office-for-the-department-homeland,EO0009,development
4349,executive_order,10074,transfer the district land office carson city nevada reno nevada,"August 09, 1949",https://www.presidency.ucsb.edu/documents/executive-order-10074-transfer-the-district-land-office-carson-city-nevada-reno-nevada,EO0010,development
3405,executive_order,11015,creating emergency board investigate disputes between the chicago,"April 23, 1962",https://www.presidency.ucsb.edu/documents/executive-order-11015-creating-emergency-board-investigate-disputes-between-the-chicago,EO0011,development
3288,executive_order,11132,establishing the interagency committee export expansion,"December 12, 1963",https://www.presidency.ucsb.edu/documents/executive-order-11132-establishing-the-interagency-committee-export-expansion,EO0012,development
2615,executive_order,11804,delegation certain functions vested the president the director,"September 16, 1974",https://www.presidency.ucsb.edu/documents/executive-order-11804-delegation-certain-functions-vested-the-president-the-director,EO0013,development
457,executive_order,13962,ensuring access united states government covid 19 vaccines,"December 08, 2020",https://www.presidency.ucsb.edu/documents/executive-order-13962-ensuring-access-united-states-government-covid-19-vaccines,EO0014,development
527,executive_order,13892,promoting the rule law through transparency and fairness civil,"October 09, 2019",https://www.presidency.ucsb.edu/documents/executive-order-13892-promoting-the-rule-law-through-transparency-and-fairness-civil,EO0015,development
304,executive_order,14115,imposing certain sanctions persons undermining peace security and,"February 01, 2024",https://www.presidency.ucsb.edu/documents/executive-order-14115-imposing-certain-sanctions-persons-undermining-peace-security-and,EO0016,development
1697,executive_order,12723,blocking kuwaiti government property,"August 02, 1990",https://www.presidency.ucsb.edu/documents/executive-order-12723-blocking-kuwaiti-government-property,EO0017,segmentation_vesting_holdout
4179,executive_order,10245,establishing commission for the commemoration the one hundred and,"May 17, 1951",https://www.presidency.ucsb.edu/documents/executive-order-10245-establishing-commission-for-the-commemoration-the-one-hundred-and,EO0018,development
4382,executive_order,10041,restoring certain lands the united states naval reservation hanapepe,"March 10, 1949",https://www.presidency.ucsb.edu/documents/executive-order-10041-restoring-certain-lands-the-united-states-naval-reservation-hanapepe,EO0019,development
4358,executive_order,10065,termination the office defense transportation,"July 06, 1949",https://www.presidency.ucsb.edu/documents/executive-order-10065-termination-the-office-defense-transportation,EO0020,development
3228,executive_order,11192,inspection income estate and gift tax returns the senate committee,"January 13, 1965",https://www.presidency.ucsb.edu/documents/executive-order-11192-inspection-income-estate-and-gift-tax-returns-the-senate-committee,EO0021,development
