document_id,document_type,identifier,title,date,url
58,executive_order,14361,modifying the scope tariffs the government brazil,"November 20, 2025",https://www.presidency.ucsb.edu/documents/executive-order-14361-modifying-the-scope-tariffs-the-government-brazil
102,executive_order,14317,creating schedule g the excepted service,"July 17, 2025",https://www.presidency.ucsb.edu/documents/executive-order-14317-creating-schedule-g-the-excepted-service
203,executive_order,14215,ensuring accountability for all agencies,"February 18, 2025",https://www.presidency.ucsb.edu/documents/executive-order-14215-ensuring-accountability-for-all-agencies
216,executive_order,14203,imposing sanctions the international criminal court,"February 06, 2025",https://www.presidency.ucsb.edu/documents/executive-order-14203-imposing-sanctions-the-international-criminal-court
222,executive_order,14198,progress the situation our southern border,"February 03, 2025",https://www.presidency.ucsb.edu/documents/executive-order-14198-progress-the-situation-our-southern-border
225,executive_order,14195,imposing duties address the synthetic opioid supply chain the,"February 01, 2025",https://www.presidency.ucsb.edu/documents/executive-order-14195-imposing-duties-address-the-synthetic-opioid-supply-chain-the
226,executive_order,14194,imposing duties address the situation our southern border,"February 01, 2025",https://www.presidency.ucsb.edu/documents/executive-order-14194-imposing-duties-address-the-situation-our-southern-border
304,executive_order,14115,imposing certain sanctions persons undermining peace security and,"February 01, 2024",https://www.presidency.ucsb.edu/documents/executive-order-14115-imposing-certain-sanctions-persons-undermining-peace-security-and
314,executive_order,14105,addressing united states investments certain national security,"August 09, 2023",https://www.presidency.ucsb.edu/documents/executive-order-14105-addressing-united-states-investments-certain-national-security
395,executive_order,14024,blocking property with respect specified harmful foreign activities,"April 15, 2021",https://www.presidency.ucsb.edu/documents/executive-order-14024-blocking-property-with-respect-specified-harmful-foreign-activities
434,executive_order,13989,ethics commitments executive branch personnel,"January 20, 2021",https://www.presidency.ucsb.edu/documents/executive-order-13989-ethics-commitments-executive-branch-personnel
460,executive_order,13959,addressing the threat from securities investments that finance,"November 12, 2020",https://www.presidency.ucsb.edu/documents/executive-order-13959-addressing-the-threat-from-securities-investments-that-finance
462,executive_order,13957,creating schedule f the excepted service,"October 21, 2020",https://www.presidency.ucsb.edu/documents/executive-order-13957-creating-schedule-f-the-excepted-service
483,executive_order,13936,the presidents executive order hong kong normalization,"July 14, 2020",https://www.presidency.ucsb.edu/documents/executive-order-13936-the-presidents-executive-order-hong-kong-normalization
491,executive_order,13928,blocking property certain persons associated with the international,"June 11, 2020",https://www.presidency.ucsb.edu/documents/executive-order-13928-blocking-property-certain-persons-associated-with-the-international
525,executive_order,13894,blocking property and suspending entry certain persons contributing,"October 14, 2019",https://www.presidency.ucsb.edu/documents/executive-order-13894-blocking-property-and-suspending-entry-certain-persons-contributing
537,executive_order,13882,blocking property and suspending entry certain persons contributing,"July 26, 2019",https://www.presidency.ucsb.edu/documents/executive-order-13882-blocking-property-and-suspending-entry-certain-persons-contributing
561,executive_order,13858,strengthening buy american preferences for infrastructure projects,"January 31, 2019",https://www.presidency.ucsb.edu/documents/executive-order-13858-strengthening-buy-american-preferences-for-infrastructure-projects
568,executive_order,13851,blocking property certain persons contributing the situation,"November 27, 2018",https://www.presidency.ucsb.edu/documents/executive-order-13851-blocking-property-certain-persons-contributing-the-situation
576,executive_order,13843,excepting administrative law judges from the competitive service,"July 10, 2018",https://www.presidency.ucsb.edu/documents/executive-order-13843-excepting-administrative-law-judges-from-the-competitive-service
578,executive_order,13841,affording congress opportunity address family separation,"June 20, 2018",https://www.presidency.ucsb.edu/documents/executive-order-13841-affording-congress-opportunity-address-family-separation
589,executive_order,13830,delegation authority approve certain military decorations,"April 20, 2018",https://www.presidency.ucsb.edu/documents/executive-order-13830-delegation-authority-approve-certain-military-decorations
602,executive_order,13818,blocking the property persons involved serious human rights abuse or,"December 20, 2017",https://www.presidency.ucsb.edu/documents/executive-order-13818-blocking-the-property-persons-involved-serious-human-rights-abuse-or
610,executive_order,13809,restoring state tribal and local law enforcements access lifesaving,"August 28, 2017",https://www.presidency.ucsb.edu/documents/executive-order-13809-restoring-state-tribal-and-local-law-enforcements-access-lifesaving
650,executive_order,13769,protecting the nation from foreign terrorist entry into the united,"January 27, 2017",https://www.presidency.ucsb.edu/documents/executive-order-13769-protecting-the-nation-from-foreign-terrorist-entry-into-the-united
662,executive_order,13757,taking additional steps address the national emergency with respect,"December 28, 2016",https://www.presidency.ucsb.edu/documents/executive-order-13757-taking-additional-steps-address-the-national-emergency-with-respect
693,executive_order,13726,blocking property and suspending entry into the united states,"April 19, 2016",https://www.presidency.ucsb.edu/documents/executive-order-13726-blocking-property-and-suspending-entry-into-the-united-states
727,executive_order,13692,blocking property and suspending entry certain persons contributing,"March 08, 2015",https://www.presidency.ucsb.edu/documents/executive-order-13692-blocking-property-and-suspending-entry-certain-persons-contributing
752,executive_order,13667,blocking property certain persons contributing the conflict the,"May 12, 2014",https://www.presidency.ucsb.edu/documents/executive-order-13667-blocking-property-certain-persons-contributing-the-conflict-the
755,executive_order,13664,blocking property certain persons with respect south sudan,"April 03, 2014",https://www.presidency.ucsb.edu/documents/executive-order-13664-blocking-property-certain-persons-with-respect-south-sudan
759,executive_order,13660,blocking property certain persons contributing the situation ukraine,"March 06, 2014",https://www.presidency.ucsb.edu/documents/executive-order-13660-blocking-property-certain-persons-contributing-the-situation-ukraine
808,executive_order,13611,blocking property persons threatening the peace security or,"May 16, 2012",https://www.presidency.ucsb.edu/documents/executive-order-13611-blocking-property-persons-threatening-the-peace-security-or
838,executive_order,13581,blocking property transnational criminal organizations,"July 24, 2011",https://www.presidency.ucsb.edu/documents/executive-order-13581-blocking-property-transnational-criminal-organizations
858,executive_order,13561,adjustments certain rates pay,"December 22, 2010",https://www.presidency.ucsb.edu/documents/executive-order-13561-adjustments-certain-rates-pay
883,executive_order,13536,blocking property certain persons contributing the conflict somalia,"April 12, 2010",https://www.presidency.ucsb.edu/documents/executive-order-13536-blocking-property-certain-persons-contributing-the-conflict-somalia
886,executive_order,13533,providing order succession within the department defense,"March 01, 2010",https://www.presidency.ucsb.edu/documents/executive-order-13533-providing-order-succession-within-the-department-defense
887,executive_order,13532,promoting excellence innovation and sustainability historically,"February 26, 2010",https://www.presidency.ucsb.edu/documents/executive-order-13532-promoting-excellence-innovation-and-sustainability-historically
930,executive_order,13490,ethics commitments executive branch personnel,"January 21, 2009",https://www.presidency.ucsb.edu/documents/executive-order-13490-ethics-commitments-executive-branch-personnel
934,executive_order,13485,providing order succession within the department transportation,"January 09, 2009",https://www.presidency.ucsb.edu/documents/executive-order-13485-providing-order-succession-within-the-department-transportation
938,executive_order,13481,providing order succession within the department justice,"December 09, 2008",https://www.presidency.ucsb.edu/documents/executive-order-13481-providing-order-succession-within-the-department-justice
941,executive_order,13478,amendments executive order 9397 relating federal agency use social,"November 18, 2008",https://www.presidency.ucsb.edu/documents/executive-order-13478-amendments-executive-order-9397-relating-federal-agency-use-social
997,executive_order,13422,further amendment executive order 12866 regulatory planning and,"January 18, 2007",https://www.presidency.ucsb.edu/documents/executive-order-13422-further-amendment-executive-order-12866-regulatory-planning-and
1001,executive_order,13418,amendment executive order 13317 volunteers for prosperity,"December 14, 2006",https://www.presidency.ucsb.edu/documents/executive-order-13418-amendment-executive-order-13317-volunteers-for-prosperity
1014,executive_order,13405,blocking property certain persons undermining democratic processes,"June 16, 2006",https://www.presidency.ucsb.edu/documents/executive-order-13405-blocking-property-certain-persons-undermining-democratic-processes
1023,executive_order,13396,blocking property certain persons contributing the conflict cote,"February 07, 2006",https://www.presidency.ucsb.edu/documents/executive-order-13396-blocking-property-certain-persons-contributing-the-conflict-cote
1026,executive_order,13393,adjustments certain rates pay,"December 22, 2005",https://www.presidency.ucsb.edu/documents/executive-order-13393-adjustments-certain-rates-pay
1028,executive_order,13391,blocking property additional persons undermining democratic,"November 22, 2005",https://www.presidency.ucsb.edu/documents/executive-order-13391-blocking-property-additional-persons-undermining-democratic
1036,executive_order,13383,amending executive orders 12139 and 12949 light establishment the,"July 15, 2005",https://www.presidency.ucsb.edu/documents/executive-order-13383-amending-executive-orders-12139-and-12949-light-establishment-the
1071,executive_order,13348,blocking property certain persons and prohibiting the importation,"July 22, 2004",https://www.presidency.ucsb.edu/documents/executive-order-13348-blocking-property-certain-persons-and-prohibiting-the-importation
1104,executive_order,13315,blocking property the former iraqi regime its senior officials and,"August 28, 2003",https://www.presidency.ucsb.edu/documents/executive-order-13315-blocking-property-the-former-iraqi-regime-its-senior-officials-and
