document_id,document_type,identifier,title,date,url
4345,executive_order,10079,transferring certain property the virgin islands the permanent,"September 09, 1949",https://www.presidency.ucsb.edu/documents/executive-order-10079-transferring-certain-property-the-virgin-islands-the-permanent
436,executive_order,13984,taking additional steps address the national emergency with respect,"January 19, 2021",https://www.presidency.ucsb.edu/documents/executive-order-13984-taking-additional-steps-address-the-national-emergency-with-respect
3615,executive_order,10805,designating the central intelligence agency excepted from certain,"February 18, 1959",https://www.presidency.ucsb.edu/documents/executive-order-10805-designating-the-central-intelligence-agency-excepted-from-certain
1896,executive_order,12523,national white house conference small business,"June 27, 1985",https://www.presidency.ucsb.edu/documents/executive-order-12523-national-white-house-conference-small-business
835,executive_order,13584,developing integrated strategic counterterrorism communications,"September 09, 2011",https://www.presidency.ucsb.edu/documents/executive-order-13584-developing-integrated-strategic-counterterrorism-communications
1161,executive_order,13258,amending executive order 12866 regulatory planning and review,"February 26, 2002",https://www.presidency.ucsb.edu/documents/executive-order-13258-amending-executive-order-12866-regulatory-planning-and-review
4372,executive_order,10051,creating emergency board investigate dispute between the aliquippa,"April 15, 1949",https://www.presidency.ucsb.edu/documents/executive-order-10051-creating-emergency-board-investigate-dispute-between-the-aliquippa
3814,executive_order,10607,inspection income excess profits declared value excess profits,"May 03, 1955",https://www.presidency.ucsb.edu/documents/executive-order-10607-inspection-income-excess-profits-declared-value-excess-profits
1958,executive_order,12461,district columbia police and firefighters retirement and disability,"February 17, 1984",https://www.presidency.ucsb.edu/documents/executive-order-12461-district-columbia-police-and-firefighters-retirement-and-disability
3998,executive_order,10424,authorizing competitive status for norman e prince wthout compliance,"January 15, 1953",https://www.presidency.ucsb.edu/documents/executive-order-10424-authorizing-competitive-status-for-norman-e-prince-wthout-compliance
822,executive_order,13597,establishing visa and foreign visitor processing goals and the task,"January 19, 2012",https://www.presidency.ucsb.edu/documents/executive-order-13597-establishing-visa-and-foreign-visitor-processing-goals-and-the-task
621,executive_order,13798,promoting free speech and religious liberty,"May 04, 2017",https://www.presidency.ucsb.edu/documents/executive-order-13798-promoting-free-speech-and-religious-liberty
4214,executive_order,10209,amending executive order no 8557 september 30 1940 entitled,"February 01, 1951",https://www.presidency.ucsb.edu/documents/executive-order-10209-amending-executive-order-no-8557-september-30-1940-entitled
