child_id,child_document_type,child_identifier,referenced_document_type,referenced_identifier,referenced_title,referenced_date,reason,reference_text,context
1,memorandum,,executive_order,13747,,,cross_type_reference,Executive Order 13747,"The coronavirus disease 2019 (COVID-19) pandemic is a grave reminder that biological threats, whether naturally occurring, accidental, or deliberate, can have significant and potentially existential consequences for humanity. This directive reaffirms Executive Order 13747 of November 4, 2016, which made clear that these threats pose global challenges that require global solutions. United States international engagement to combat COVID-19 and advance global health security and biopreparedness is thus an urgent priority—to save lives, promote economic recovery, and develop resilience against future biological catastrophes. My Administration will treat epidemic and pandemic preparedness, health security, and global health as top national security priorities, and will work with other nations to combat COVID-19 and seek to create a world that is safe and secure from biological threats."
2,memorandum,,executive_order,13905,,,cross_type_reference,Executive Order 13905,"This Space Policy Directive establishes implementation actions and guidance for United States space-based positioning, navigation, and timing (PNT) programs and activities for United States national and homeland security, civil, commercial, and scientific purposes. This policy complements the guidance set forth in Executive Order 13905 of February 12, 2020 (Strengthening National Resilience through Responsible Use of Positioning, Navigation, and Timing Services), and the intersector guidance for Global Navigation Satellite Systems (GNSS) included in the December 9, 2020, National Space Policy. This policy supersedes National Security Presidential Directive-39 (NSPD-39) of December 15, 2004 (United States Space-Based Positioning, Navigation, and Timing Policy)."
2,memorandum,,memorandum,NSPD-39,,,outside_corpus,NSPD-39,"This Space Policy Directive establishes implementation actions and guidance for United States space-based positioning, navigation, and timing (PNT) programs and activities for United States national and homeland security, civil, commercial, and scientific purposes. This policy complements the guidance set forth in Executive Order 13905 of February 12, 2020 (Strengthening National Resilience through Responsible Use of Positioning, Navigation, and Timing Services), and the intersector guidance for Global Navigation Satellite Systems (GNSS) included in the December 9, 2020, National Space Policy. This policy supersedes National Security Presidential Directive-39 (NSPD-39) of December 15, 2004 (United States Space-Based Positioning, Navigation, and Timing Policy)."
2,memorandum,,memorandum,PPD-21,,,outside_corpus,PPD-21,"(i) GPS is a key component of multiple sectors of United States critical infrastructure, as identified in Presidential Policy Directive-21 (PPD-21) of February 12, 2013 (Critical Infrastructure Security and Resilience) and stated in EO 13905. Cascading effects from extended PNT service disruption or denial can adversely affect all sectors. Autonomous vehicles on land, sea, and air have begun to rely on GPS for navigation, positional awareness, and other vehicle capabilities. Additionally, many information systems rely on the GPS timing signal to enable both fixed and mobile communications. An extended outage of GPS, or extended period of spoofed or manipulated GPS signals, could cause severe economic losses and put lives at risk."
2,memorandum,,executive_order,13905,,,cross_type_reference,EO 13905,"(i) GPS is a key component of multiple sectors of United States critical infrastructure, as identified in Presidential Policy Directive-21 (PPD-21) of February 12, 2013 (Critical Infrastructure Security and Resilience) and stated in EO 13905. Cascading effects from extended PNT service disruption or denial can adversely affect all sectors. Autonomous vehicles on land, sea, and air have begun to rely on GPS for navigation, positional awareness, and other vehicle capabilities. Additionally, many information systems rely on the GPS timing signal to enable both fixed and mobile communications. An extended outage of GPS, or extended period of spoofed or manipulated GPS signals, could cause severe economic losses and put lives at risk."
2,memorandum,,memorandum,PPD-21,,,outside_corpus,PPD-21,"(h) Maintain GPS and its augmentations for use by United States critical infrastructure to enhance safety of life functions and operational efficiency, consistent with PPD-21;"
2,memorandum,,executive_order,13905,,,cross_type_reference,Executive Order 13905,"(j) Promote the responsible use of United States space-based PNT services and capabilities for applications at the Federal, State, and local level, consistent with Executive Order 13905; and"
2,memorandum,,executive_order,13905,,,cross_type_reference,Executive Order 13905,"(vii) In cooperation with the heads of other agencies, as appropriate, develop guidelines to improve the cybersecurity of PNT devices, including their capability to detect and reject manipulated or counterfeit signals, and promote the responsible use of space-based PNT services and capabilities for applications that support national security, economic growth, transportation safety, and homeland security as directed in Executive Order 13905."
5,memorandum,PPD-41,memorandum,NSPD-54,,,outside_corpus,NSPD-54,"A. National Policy Coordination [This sub-section supersedes NSPD-54/HSPD-23, paragraph 13, concerning the National Cyber Response Coordination Group.] The Cyber Response Group (CRG), in support of the National Security Council (NSC) Deputies and Principals Committees, and accountable through the Assistant to the President for Homeland Security and Counterterrorism (APHSCT) to the NSC chaired by the President, shall coordinate the development and implementation of United States Government policy and strategy with respect to significant cyber incidents affecting the United States or its interests abroad. B. National Operational Coordination 1. Agency Enhanced Coordination Procedures. Each Federal agency that regularly participates in the CRG, including SSAs, shall establish and follow enhanced coordination procedures as defined in the annex to this PPD in situations in which the demands of responding to a significant cyber incident exceed its standing capacity. 2. Cyber Unified Coordination Group. A Cyber Unified Coordination Group (UCG) shall serve as the primary method for coordinating between and among Federal agencies in response to a significant cyber incident as well as for integrating private sector partners into incident response efforts, as appropriate. A Cyber UCG shall be formed at the direction of the NSC Principals Committee, Deputies Committee, or the CRG, or when two or more Federal agencies that generally participate in the CRG, including relevant SSAs, request its formation. A Cyber UCG shall also be formed when a significant cyber incident affects critical infrastructure owners and operators identified by the Secretary of Homeland Security as owning or operating critical infrastructure for which a cyber incident could reasonably result in catastrophic regional or national effects on public health or safety, economic security, or national security. A Cyber UCG will normally consist of Federal lead agencies for threat response, asset response, and intelligence support, but will also include SSAs, if a cyber incident affects or is likely to affect sectors they represent. In addition, as required by the scope, nature, and facts of a particular significant cyber incident, a Cyber UCG may include participation from other Federal agencies, SLTT governments, nongovernmental organizations, international counterparts, or the private sector. Following the formation of a Cyber UCG, Federal agencies responding to the incident shall assign appropriate senior executives, staff, and resources to execute the agency's responsibilities as part of a Cyber UCG. The Cyber UCG is intended to result in unity of effort and not to alter agency authorities or leadership, oversight, or command responsibilities. Unless mutually agreed upon between agency heads or their designees, and consistent with applicable legal authorities such as the Economy Act of 1932 (31 U.S.C. 1535), Federal departments and agencies will maintain operational control over their respective agency assets. 3. Federal lead agencies. In order to ensure that the Cyber UCG achieves maximum effectiveness in coordinating responses to significant cyber incidents, the following agencies shall serve as Federal lead agencies for the specified line of effort: a. In view of the fact that significant cyber incidents will often involve at least the possibility of a nation-state actor or have some other national security nexus, the Department of Justice, acting through the Federal Bureau of Investigation and the National Cyber Investigative Joint Task Force, shall be the Federal lead agency for threat response activities. b. The Department of Homeland Security, acting through the National Cybersecurity and Communications Integration Center, shall be the Federal lead agency for asset response activities. c. The Office of the Director of National Intelligence, through the Cyber Threat Intelligence Integration Center, shall be the Federal lead agency for intelligence support and related activities. Drawing upon the resources and capabilities across the Federal Government, the Federal lead agencies are responsible for: a. Coordinating any multi-agency threat or asset response activities to provide unity of effort, to include coordinating with any agency providing support to the incident, to include SSAs in recognition of their unique expertise; b. Ensuring that their respective lines of effort are coordinated with other Cyber UCG participants and affected entities, as appropriate; c. Identifying and recommending to the CRG, if elevation is required, any additional Federal Government resources or actions necessary to appropriately respond to and recover from the incident; and d. Coordinating with affected entities on various aspects of threat, asset, and affected entity response activities through a Cyber UCG, as appropriate. C. Field-Level Coordination Field-level representatives of the Federal asset or threat response lead agencies shall ensure that they effectively coordinate their activities within their respective lines of effort with each other and the affected entity. Such representatives may be co-located with the affected entity."
5,memorandum,PPD-41,memorandum,HSPD-23,,,outside_corpus,HSPD-23,"A. National Policy Coordination [This sub-section supersedes NSPD-54/HSPD-23, paragraph 13, concerning the National Cyber Response Coordination Group.] The Cyber Response Group (CRG), in support of the National Security Council (NSC) Deputies and Principals Committees, and accountable through the Assistant to the President for Homeland Security and Counterterrorism (APHSCT) to the NSC chaired by the President, shall coordinate the development and implementation of United States Government policy and strategy with respect to significant cyber incidents affecting the United States or its interests abroad. B. National Operational Coordination 1. Agency Enhanced Coordination Procedures. Each Federal agency that regularly participates in the CRG, including SSAs, shall establish and follow enhanced coordination procedures as defined in the annex to this PPD in situations in which the demands of responding to a significant cyber incident exceed its standing capacity. 2. Cyber Unified Coordination Group. A Cyber Unified Coordination Group (UCG) shall serve as the primary method for coordinating between and among Federal agencies in response to a significant cyber incident as well as for integrating private sector partners into incident response efforts, as appropriate. A Cyber UCG shall be formed at the direction of the NSC Principals Committee, Deputies Committee, or the CRG, or when two or more Federal agencies that generally participate in the CRG, including relevant SSAs, request its formation. A Cyber UCG shall also be formed when a significant cyber incident affects critical infrastructure owners and operators identified by the Secretary of Homeland Security as owning or operating critical infrastructure for which a cyber incident could reasonably result in catastrophic regional or national effects on public health or safety, economic security, or national security. A Cyber UCG will normally consist of Federal lead agencies for threat response, asset response, and intelligence support, but will also include SSAs, if a cyber incident affects or is likely to affect sectors they represent. In addition, as required by the scope, nature, and facts of a particular significant cyber incident, a Cyber UCG may include participation from other Federal agencies, SLTT governments, nongovernmental organizations, international counterparts, or the private sector. Following the formation of a Cyber UCG, Federal agencies responding to the incident shall assign appropriate senior executives, staff, and resources to execute the agency's responsibilities as part of a Cyber UCG. The Cyber UCG is intended to result in unity of effort and not to alter agency authorities or leadership, oversight, or command responsibilities. Unless mutually agreed upon between agency heads or their designees, and consistent with applicable legal authorities such as the Economy Act of 1932 (31 U.S.C. 1535), Federal departments and agencies will maintain operational control over their respective agency assets. 3. Federal lead agencies. In order to ensure that the Cyber UCG achieves maximum effectiveness in coordinating responses to significant cyber incidents, the following agencies shall serve as Federal lead agencies for the specified line of effort: a. In view of the fact that significant cyber incidents will often involve at least the possibility of a nation-state actor or have some other national security nexus, the Department of Justice, acting through the Federal Bureau of Investigation and the National Cyber Investigative Joint Task Force, shall be the Federal lead agency for threat response activities. b. The Department of Homeland Security, acting through the National Cybersecurity and Communications Integration Center, shall be the Federal lead agency for asset response activities. c. The Office of the Director of National Intelligence, through the Cyber Threat Intelligence Integration Center, shall be the Federal lead agency for intelligence support and related activities. Drawing upon the resources and capabilities across the Federal Government, the Federal lead agencies are responsible for: a. Coordinating any multi-agency threat or asset response activities to provide unity of effort, to include coordinating with any agency providing support to the incident, to include SSAs in recognition of their unique expertise; b. Ensuring that their respective lines of effort are coordinated with other Cyber UCG participants and affected entities, as appropriate; c. Identifying and recommending to the CRG, if elevation is required, any additional Federal Government resources or actions necessary to appropriately respond to and recover from the incident; and d. Coordinating with affected entities on various aspects of threat, asset, and affected entity response activities through a Cyber UCG, as appropriate. C. Field-Level Coordination Field-level representatives of the Federal asset or threat response lead agencies shall ensure that they effectively coordinate their activities within their respective lines of effort with each other and the affected entity. Such representatives may be co-located with the affected entity."
