document_id,document_type,identifier,title,date,url
1,memorandum,,national security directive united states global leadership strengthen the international,"January 21, 2021",https://www.presidency.ucsb.edu/documents/national-security-directive-united-states-global-leadership-strengthen-the-international
3,memorandum,PPD-43,united states cuba normalization,"October 14, 2016",https://www.presidency.ucsb.edu/documents/directive-united-states-cuba-normalization
5,memorandum,PPD-41,united states cyber incident coordination,"July 26, 2016",https://www.presidency.ucsb.edu/documents/directive-united-states-cyber-incident-coordination
6,memorandum,PPD-30,united states nationals taken hostage abroad and personnel recovery efforts,"June 24, 2015",https://www.presidency.ucsb.edu/documents/directive-united-states-nationals-taken-hostage-abroad-and-personnel-recovery-efforts
7,memorandum,PPD-28,signals intelligence activities,"January 17, 2014",https://www.presidency.ucsb.edu/documents/directive-signals-intelligence-activities
8,memorandum,PPD-27,united states conventional arms transfer policy,"January 15, 2014",https://www.presidency.ucsb.edu/documents/directive-united-states-conventional-arms-transfer-policy
9,memorandum,PPD-21,critical infrastructure security and resilience,"February 12, 2013",https://www.presidency.ucsb.edu/documents/directive-critical-infrastructure-security-and-resilience
11,memorandum,PSD-10,creation interagency atrocities prevention board and corresponding interagency,"August 04, 2011",https://www.presidency.ucsb.edu/documents/directive-creation-interagency-atrocities-prevention-board-and-corresponding-interagency
12,memorandum,NSPD-66,arctic region policy,"January 09, 2009",https://www.presidency.ucsb.edu/documents/directive-arctic-region-policy
13,memorandum,NSPD-59,biometrics for identification and screening enhance national security,"June 05, 2008",https://www.presidency.ucsb.edu/documents/directive-biometrics-for-identification-and-screening-enhance-national-security
14,memorandum,HSPD-21,public health and medical preparedness,"October 18, 2007",https://www.presidency.ucsb.edu/documents/directive-public-health-and-medical-preparedness
16,memorandum,,homeland security presidential directivehspd 18 medical countermeasures against weapons,"January 31, 2007",https://www.presidency.ucsb.edu/documents/homeland-security-presidential-directivehspd-18-medical-countermeasures-against-weapons
17,memorandum,,homeland security presidential directivehspd 12 policy for common identification standard,"August 27, 2004",https://www.presidency.ucsb.edu/documents/homeland-security-presidential-directivehspd-12-policy-for-common-identification-standard
18,memorandum,,homeland security presidential directivehspd 11 comprehensive terrorist related screening,"August 27, 2004",https://www.presidency.ucsb.edu/documents/homeland-security-presidential-directivehspd-11-comprehensive-terrorist-related-screening
19,memorandum,,homeland security presidential directivehspd 9 defense united states agriculture and food,"January 30, 2004",https://www.presidency.ucsb.edu/documents/homeland-security-presidential-directivehspd-9-defense-united-states-agriculture-and-food
20,memorandum,,homeland security presidential directivehspd 7 critical infrastructure identification,"December 17, 2003",https://www.presidency.ucsb.edu/documents/homeland-security-presidential-directivehspd-7-critical-infrastructure-identification
21,memorandum,,homeland security presidential directive hspd 8 national preparedness,"December 17, 2003",https://www.presidency.ucsb.edu/documents/homeland-security-presidential-directive-hspd-8-national-preparedness
22,memorandum,,homeland security presidential directivehspd 6 directive integration and use screening,"September 16, 2003",https://www.presidency.ucsb.edu/documents/homeland-security-presidential-directivehspd-6-directive-integration-and-use-screening
23,memorandum,,homeland security presidential directivehspd 5 management domestic incidents,"February 28, 2003",https://www.presidency.ucsb.edu/documents/homeland-security-presidential-directivehspd-5-management-domestic-incidents
24,memorandum,,homeland security presidential directive 3 homeland security advisory system,"March 11, 2002",https://www.presidency.ucsb.edu/documents/homeland-security-presidential-directive-3-homeland-security-advisory-system
