document_id,url,date,president,doc_type,term,source_file,authority_category,generic_authority_matches,specific_authority_matches,vesting_clauses
1,https://www.presidency.ucsb.edu/documents/national-security-directive-united-states-global-leadership-strengthen-the-international,"January 21, 2021","Joseph R. Biden, Jr.",memorandum,First,4_28_2026_build_dev.csv,no_vesting_clause,[],[],[]
2,https://www.presidency.ucsb.edu/documents/space-policy-directive-7-the-united-states-space-based-positioning-navigation-and-timing,"January 15, 2021",Donald J. Trump,memorandum,First,4_28_2026_build_dev.csv,no_vesting_clause,[],[],[]
5,https://www.presidency.ucsb.edu/documents/directive-united-states-cyber-incident-coordination,"July 26, 2016",Barack Obama,memorandum,Second,4_28_2026_build_dev.csv,no_vesting_clause,[],[],[]
6,https://www.presidency.ucsb.edu/documents/directive-united-states-nationals-taken-hostage-abroad-and-personnel-recovery-efforts,"June 24, 2015",Barack Obama,memorandum,Second,4_28_2026_build_dev.csv,no_vesting_clause,[],[],[]
7,https://www.presidency.ucsb.edu/documents/directive-signals-intelligence-activities,"January 17, 2014",Barack Obama,memorandum,Second,4_28_2026_build_dev.csv,no_vesting_clause,[],[],[]
8,https://www.presidency.ucsb.edu/documents/directive-united-states-conventional-arms-transfer-policy,"January 15, 2014",Barack Obama,memorandum,Second,4_28_2026_build_dev.csv,no_vesting_clause,[],[],[]
11,https://www.presidency.ucsb.edu/documents/directive-creation-interagency-atrocities-prevention-board-and-corresponding-interagency,"August 04, 2011",Barack Obama,memorandum,First,4_28_2026_build_dev.csv,no_vesting_clause,[],[],[]
12,https://www.presidency.ucsb.edu/documents/directive-arctic-region-policy,"January 09, 2009",George W. Bush,memorandum,Second,4_28_2026_build_dev.csv,no_vesting_clause,[],[],[]
13,https://www.presidency.ucsb.edu/documents/directive-biometrics-for-identification-and-screening-enhance-national-security,"June 05, 2008",George W. Bush,memorandum,Second,4_28_2026_build_dev.csv,no_vesting_clause,[],[],[]
16,https://www.presidency.ucsb.edu/documents/homeland-security-presidential-directivehspd-18-medical-countermeasures-against-weapons,"January 31, 2007",George W. Bush,memorandum,Second,4_28_2026_build_dev.csv,no_vesting_clause,[],[],[]
17,https://www.presidency.ucsb.edu/documents/homeland-security-presidential-directivehspd-12-policy-for-common-identification-standard,"August 27, 2004",George W. Bush,memorandum,First,4_28_2026_build_dev.csv,no_vesting_clause,[],[],[]
18,https://www.presidency.ucsb.edu/documents/homeland-security-presidential-directivehspd-11-comprehensive-terrorist-related-screening,"August 27, 2004",George W. Bush,memorandum,First,4_28_2026_build_dev.csv,no_vesting_clause,[],[],[]
19,https://www.presidency.ucsb.edu/documents/homeland-security-presidential-directivehspd-9-defense-united-states-agriculture-and-food,"January 30, 2004",George W. Bush,memorandum,First,4_28_2026_build_dev.csv,no_vesting_clause,[],[],[]
20,https://www.presidency.ucsb.edu/documents/homeland-security-presidential-directivehspd-7-critical-infrastructure-identification,"December 17, 2003",George W. Bush,memorandum,First,4_28_2026_build_dev.csv,no_vesting_clause,[],[],[]
21,https://www.presidency.ucsb.edu/documents/homeland-security-presidential-directive-hspd-8-national-preparedness,"December 17, 2003",George W. Bush,memorandum,First,4_28_2026_build_dev.csv,no_vesting_clause,[],[],[]
22,https://www.presidency.ucsb.edu/documents/homeland-security-presidential-directivehspd-6-directive-integration-and-use-screening,"September 16, 2003",George W. Bush,memorandum,First,4_28_2026_build_dev.csv,no_vesting_clause,[],[],[]
23,https://www.presidency.ucsb.edu/documents/homeland-security-presidential-directivehspd-5-management-domestic-incidents,"February 28, 2003",George W. Bush,memorandum,First,4_28_2026_build_dev.csv,specific_statutory,[],"[{""rule"": ""named_act"", ""text"": ""the Homeland Security Act of 2002""}]","[""Pursuant to the Homeland Security Act of 2002,""]"
24,https://www.presidency.ucsb.edu/documents/homeland-security-presidential-directive-3-homeland-security-advisory-system,"March 11, 2002",George W. Bush,memorandum,First,4_28_2026_build_dev.csv,no_vesting_clause,[],[],[]
25,https://www.presidency.ucsb.edu/documents/homeland-security-presidential-directive-2-combating-terrorism-through-immigration,"October 29, 2001",George W. Bush,memorandum,First,4_28_2026_build_dev.csv,no_vesting_clause,[],[],[]
26,https://www.presidency.ucsb.edu/documents/homeland-security-presidential-directive-1-organization-and-operation-the-homeland,"October 29, 2001",George W. Bush,memorandum,First,4_28_2026_build_dev.csv,no_vesting_clause,[],[],[]
29,https://www.presidency.ucsb.edu/documents/directive-the-need-for-maintaining-the-confidential-status-employee-loyalty-records,"March 15, 1948",Harry S Truman,memorandum,First,4_28_2026_build_dev.csv,no_vesting_clause,[],[],[]
