doc_type,authority_category,count
executive_order,specific_statutory,2941
executive_order,specific_constitutional,4
executive_order,constitution_laws_vague_only,816
executive_order,president_capacity_only,225
executive_order,commander_in_chief_capacity_only,1
executive_order,capacity_combination_only,33
executive_order,vesting_unclassified,0
executive_order,no_vesting_clause,47
memorandum,specific_statutory,1692
memorandum,specific_constitutional,1
memorandum,constitution_laws_vague_only,146
memorandum,president_capacity_only,0
memorandum,commander_in_chief_capacity_only,0
memorandum,capacity_combination_only,0
memorandum,vesting_unclassified,0
memorandum,no_vesting_clause,1312
letter,specific_statutory,404
letter,specific_constitutional,2
letter,constitution_laws_vague_only,5
letter,president_capacity_only,0
letter,commander_in_chief_capacity_only,0
letter,capacity_combination_only,0
letter,vesting_unclassified,0
letter,no_vesting_clause,3273
proclamation,specific_statutory,3737
proclamation,specific_constitutional,4
proclamation,constitution_laws_vague_only,2731
proclamation,president_capacity_only,939
proclamation,commander_in_chief_capacity_only,0
proclamation,capacity_combination_only,28
proclamation,vesting_unclassified,0
proclamation,no_vesting_clause,77
total,specific_statutory,8774
total,specific_constitutional,11
total,constitution_laws_vague_only,3698
total,president_capacity_only,1164
total,commander_in_chief_capacity_only,1
total,capacity_combination_only,61
total,vesting_unclassified,0
total,no_vesting_clause,4709
